No.,수불확인,구분,입고일자,거래처,거래처명,품목군,품목코드,품목정보,입고유형,매입구분,화폐,입고량,단가,금액,환율,환산금액,정산구분,정산수량,입고창고,순번,입고번호,순번.1,구매담당,사업장,등록자,등록일,발생프로그램
1.0,2.0,구매,20240104.0,9999.0,사내,MCS-40,S430200001A,"BATTERY-LI_ION;16.8V,4S1P,2500MAH,SDI;EA",구매무상입고,국내,KRW,3100,0.0,0,1.0,0.0,미정산,0.0,부자재창고,0.0,J1202401040002,1.0,구매담당,㈜삼광,김경동,20240104.0,예외입고등록
2.0,2.0,구매,20240105.0,1049.0,망고슬래브 주식회사,MCS-40,JK92-11001A,"MCS-40 PBA SUB:MCS-40,MAIN;;EA",구매무상입고,국내,KRW,5,0.0,0,1.0,0.0,미정산,0.0,부자재창고,0.0,J1202401050004,1.0,구매담당,㈜삼광,김경동,20240105.0,예외입고등록
3.0,2.0,구매,20240105.0,9999.0,사내,TAB S6,PC-01154,IH-1047 G34342;;KG,구매무상입고,국내,KRW,25,0.0,0,1.0,0.0,미정산,0.0,원자재창고,0.0,J1202401050008,1.0,구매담당,㈜삼광,김경동,20240105.0,예외입고등록
4.0,2.0,구매,20240111.0,9999.0,사내,SM-F721U,GH02-24453A,SM-F721U TAPE CONDUCTIVE_INSU FRONT DECO SUB BTM_K;AHSF 30BS;EA,구매무상입고,국내,KRW,4858,0.0,0,1.0,0.0,미정산,0.0,부자재창고,0.0,J1202401110003,1.0,구매담당,㈜삼광,김경동,20240111.0,예외입고등록
5.0,2.0,구매,20240116.0,9999.0,사내,R47,PC-01567,YGP2200 (PC/GF 20%)_E6120 ;;KG,구매무상입고,국내,KRW,25,0.0,0,1.0,0.0,미정산,0.0,원자재창고,0.0,J1202401160009,1.0,구매담당,㈜삼광,김경동,20240129.0,예외입고등록
6.0,2.0,구매,20240119.0,9999.0,사내,R47,PC-01561,YGP2400 KPA1;PC+GF40%;KG,구매무상입고,국내,KRW,18,0.0,0,1.0,0.0,미정산,0.0,원자재창고,0.0,J1202401190003,2.0,구매담당,㈜삼광,김경동,20240119.0,예외입고등록
7.0,2.0,구매,20240119.0,9999.0,사내,R47,PC-01567,YGP2200 (PC/GF 20%)_E6120 ;;KG,구매무상입고,국내,KRW,10,0.0,0,1.0,0.0,미정산,0.0,원자재창고,0.0,J1202401190003,1.0,구매담당,㈜삼광,김경동,20240119.0,예외입고등록
8.0,2.0,구매,20240125.0,1049.0,망고슬래브 주식회사,MCS-40,JK92-11001A,"MCS-40 PBA SUB:MCS-40,MAIN;;EA",구매무상입고,국내,KRW,3098,0.0,0,1.0,0.0,미정산,0.0,부자재창고,0.0,J1202401250005,1.0,구매담당,㈜삼광,김경동,20240125.0,예외입고등록
9.0,2.0,구매,20240125.0,1049.0,망고슬래브 주식회사,MCS-40,JK92-11002A,"PBA SUB:MCS-40,CRADLE;PBA SUB:MCS-40,CRADLE;EA",구매무상입고,국내,KRW,1000,0.0,0,1.0,0.0,미정산,0.0,부자재창고,0.0,J1202401250005,2.0,구매담당,㈜삼광,김경동,20240125.0,예외입고등록
10.0,2.0,구매,20240125.0,1049.0,망고슬래브 주식회사,MCS-40,JK92-11003A,"PBA SUB:MCS-40,JOINT,SHORT;MCS-40,JOINT,SHORT;EA",구매무상입고,국내,KRW,2000,0.0,0,1.0,0.0,미정산,0.0,부자재창고,0.0,J1202401250005,3.0,구매담당,㈜삼광,김경동,20240125.0,예외입고등록
11.0,2.0,구매,20240129.0,9999.0,사내,MIP-001,JK68-40014A,"LABEL(P)-SERIAL:ECR,ART PAPER,20X10;;EA",구매무상입고,국내,KRW,720,0.0,0,1.0,0.0,미정산,0.0,부자재창고,0.0,J1202401290012,3.0,구매담당,㈜삼광,김경동,20240129.0,예외입고등록
12.0,2.0,구매,20240129.0,9999.0,사내,MIP-001,JK68-40014A,"LABEL(P)-SERIAL:ECR,ART PAPER,20X10;;EA",구매무상입고,국내,KRW,360,0.0,0,1.0,0.0,미정산,0.0,부자재창고,0.0,J1202401290012,13.0,구매담당,㈜삼광,김경동,20240129.0,예외입고등록
13.0,2.0,구매,20240129.0,9999.0,사내,MIP-001,JK68-40014A,"LABEL(P)-SERIAL:ECR,ART PAPER,20X10;;EA",구매무상입고,국내,KRW,1980,0.0,0,1.0,0.0,미정산,0.0,부자재창고,0.0,J1202401290012,9.0,구매담당,㈜삼광,김경동,20240129.0,예외입고등록
14.0,2.0,구매,20240129.0,9999.0,사내,MIP-001,JK68-40014A,"LABEL(P)-SERIAL:ECR,ART PAPER,20X10;;EA",구매무상입고,국내,KRW,900,0.0,0,1.0,0.0,미정산,0.0,부자재창고,0.0,J1202401290012,5.0,구매담당,㈜삼광,김경동,20240129.0,예외입고등록
15.0,2.0,구매,20240129.0,9999.0,사내,MIP-001,JK75-60002A,"MEC-RIBBON BARCODE SET:AXR7,ARMOR(FRANCE;;EA",구매무상입고,국내,KRW,99,0.0,0,1.0,0.0,미정산,0.0,부자재창고,0.0,J1202401290012,12.0,구매담당,㈜삼광,김경동,20240129.0,예외입고등록
16.0,2.0,구매,20240129.0,9999.0,사내,MIP-001,JK75-60002A,"MEC-RIBBON BARCODE SET:AXR7,ARMOR(FRANCE;;EA",구매무상입고,국내,KRW,36,0.0,0,1.0,0.0,미정산,0.0,부자재창고,0.0,J1202401290012,2.0,구매담당,㈜삼광,김경동,20240129.0,예외입고등록
17.0,2.0,구매,20240129.0,9999.0,사내,MIP-001,JK75-60002A,"MEC-RIBBON BARCODE SET:AXR7,ARMOR(FRANCE;;EA",구매무상입고,국내,KRW,45,0.0,0,1.0,0.0,미정산,0.0,부자재창고,0.0,J1202401290012,8.0,구매담당,㈜삼광,김경동,20240129.0,예외입고등록
18.0,2.0,구매,20240129.0,9999.0,사내,MIP-001,JK75-60002A,"MEC-RIBBON BARCODE SET:AXR7,ARMOR(FRANCE;;EA",구매무상입고,국내,KRW,18,0.0,0,1.0,0.0,미정산,0.0,부자재창고,0.0,J1202401290012,16.0,구매담당,㈜삼광,김경동,20240129.0,예외입고등록
19.0,2.0,구매,20240129.0,9999.0,사내,MLC-3111W(KOR),JK68-40397A,"LABEL(P)-SIZE CARTRIDGE;카트리지 패키지 라벨,  방수 1인치 MLC-3111W;EA",구매무상입고,국내,KRW,660,0.0,0,1.0,0.0,미정산,0.0,부자재창고,0.0,J1202401290012,11.0,구매담당,㈜삼광,김경동,20240129.0,예외입고등록
20.0,2.0,구매,20240129.0,9999.0,사내,MLC-3111W(KOR),MPW-001,"라벨 용지, 방수 1인치;;EA",구매무상입고,국내,KRW,660,0.0,0,1.0,0.0,미정산,0.0,부자재창고,0.0,J1202401290012,10.0,구매담당,㈜삼광,김경동,20240129.0,예외입고등록
21.0,2.0,구매,20240129.0,9999.0,사내,MLC-3211W5N(MGS),JK68-40399A,"LABEL(P)-SIZE CARTRIDGE;카트리지 패키지 라벨,  방수 네임택 MLC-3211W5N;EA",구매무상입고,국내,KRW,120,0.0,0,1.0,0.0,미정산,0.0,부자재창고,0.0,J1202401290012,15.0,구매담당,㈜삼광,김경동,20240129.0,예외입고등록
22.0,2.0,구매,20240129.0,9999.0,사내,MLC-3211W5N(MGS),MPWN-001,"라벨 용지, 방수 네임택;;EA",구매무상입고,국내,KRW,120,0.0,0,1.0,0.0,미정산,0.0,부자재창고,0.0,J1202401290012,14.0,구매담당,㈜삼광,김경동,20240129.0,예외입고등록
23.0,2.0,구매,20240129.0,9999.0,사내,MLC-3312R,JK68-40395C,"LABEL(P)-SIZE CARTRIDGE;카트리지 패키지 라벨,  재점착 삼성 1인치 MLC-3312R;EA",구매무상입고,국내,KRW,240,0.0,0,1.0,0.0,미정산,0.0,부자재창고,0.0,J1202401290012,1.0,구매담당,㈜삼광,김경동,20240129.0,예외입고등록
24.0,2.0,구매,20240129.0,9999.0,사내,MLC-3312R(STD),MPR-003,"라벨 용지, 재점착 3인치;;EA",구매무상입고,국내,KRW,240,0.0,0,1.0,0.0,미정산,0.0,부자재창고,0.0,J1202401290012,4.0,구매담당,㈜삼광,김경동,20240129.0,예외입고등록
25.0,2.0,구매,20240129.0,9999.0,사내,MLC-3412R,JK68-40395D,"LABEL(P)-SIZE CARTRIDGE;카트리지 패키지 라벨,  재점착 삼성 1인치 MLC-3412R;EA",구매무상입고,국내,KRW,300,0.0,0,1.0,0.0,미정산,0.0,부자재창고,0.0,J1202401290012,7.0,구매담당,㈜삼광,김경동,20240129.0,예외입고등록
26.0,2.0,구매,20240129.0,9999.0,사내,MLC-3412R(STD),MPR-004,"라벨 용지, 재점착 4인치;;EA",구매무상입고,국내,KRW,300,0.0,0,1.0,0.0,미정산,0.0,부자재창고,0.0,J1202401290012,6.0,구매담당,㈜삼광,김경동,20240129.0,예외입고등록
27.0,2.0,구매,20240129.0,9999.0,사내,SM-F721U,GH02-24453A,SM-F721U TAPE CONDUCTIVE_INSU FRONT DECO SUB BTM_K;AHSF 30BS;EA,구매무상입고,국내,KRW,3424,0.0,0,1.0,0.0,미정산,0.0,부자재창고,0.0,J1202401290011,1.0,구매담당,㈜삼광,김경동,20240129.0,예외입고등록
28.0,2.0,구매,20240131.0,9999.0,사내,DM3(S23),AL-6013,AL 6013  130*100*10T;130*100*10T;EA,구매무상입고,국내,KRW,123200,0.0,0,1.0,0.0,미정산,0.0,원자재창고,0.0,J1202401310001,2.0,구매담당,㈜삼광,김경동,20240131.0,예외입고등록
29.0,2.0,구매,20240131.0,9999.0,사내,DM3(S23),AL-6013,AL 6013  130*100*10T;130*100*10T;EA,구매무상입고,국내,KRW,756000,0.0,0,1.0,0.0,미정산,0.0,원자재창고,0.0,J1202401310001,1.0,구매담당,㈜삼광,김경동,20240131.0,예외입고등록
,,,,,,,,0,,,,0,,0,,0.0,,,,,,,,,,,
,,,,,,,,1,,,,3100,,0,,,,,,,,,,,,,
